사업소,호기,일자,황산화물(ppm)기준,황산화물(ppm)평균,질소산화물(ppm)기준,질소산화물(ppm)평균,먼지(㎎/S㎥)기준,먼지(㎎/S㎥)평균,월,NOX_일평균,SOX_일평균,먼지,산소,유량,온도
삼천포,6B호기,202411,25.0,9.6,15.0,9.3,5.0,1.9,202411,2.4993333333333334,9.264999999999999,6.3853333333333335,7.019666666666667,68922.05566666667,79.02133333333333
삼천포,3A호기,202410,70.0,15.9,140.0,31.5,25.0,2.9,202410,34.854193548387094,13.982903225806451,25.983870967741936,8.031290322580645,59264.75,88.56516129032258
삼천포,3B호기,202410,70.0,15.9,140.0,31.5,25.0,2.9,202410,33.16548387096775,18.982903225806453,43.17322580645161,7.788064516129032,61035.065161290324,90.83838709677418
삼천포,4A호기,202410,70.0,15.9,140.0,31.5,25.0,2.9,202410,50.86741935483871,3.435161290322581,15.509677419354839,20.89548387096774,306.18225806451613,18.798709677419353
삼천포,4B호기,202410,70.0,15.9,140.0,31.5,25.0,2.9,202410,41.09806451612903,2.565483870967742,13.508387096774193,21.031290322580645,522.0816129032258,19.450322580645164
삼천포,5A호기,202410,140.0,9.2,140.0,1.7,25.0,0.9,202410,6.425161290322581,14.066129032258065,92.35548387096775,11.335806451612902,46500.62870967742,63.64677419354839
삼천포,5B호기,202410,140.0,9.2,140.0,1.7,25.0,0.9,202410,2.13258064516129,9.114516129032259,326.008064516129,11.408064516129032,39472.45064516129,64.21774193548387
삼천포,6A호기,202410,140.0,9.2,140.0,1.7,25.0,0.9,202410,6.421290322580645,18.153225806451612,127.74967741935482,13.306774193548387,36060.99064516129,66.93935483870968
삼천포,6B호기,202410,140.0,9.2,140.0,1.7,25.0,0.9,202410,3.9664516129032257,17.124193548387098,72.66064516129032,13.166451612903227,39049.98645161291,64.52677419354839
영흥,1호기,202410,45.0,1.7,55.0,11.4,20.0,2.2,202410,0.6387096774193549,18.05032258064516,726.7383870967742,21.02709677419355,35.071935483870966,16.08483870967742
영흥,2호기,202410,45.0,1.7,55.0,11.4,20.0,2.2,202410,0.30129032258064514,24.991612903225807,464.7090322580645,20.938064516129035,241.6067741935484,16.52741935483871
영흥,3호기,202410,25.0,15.4,15.0,11.4,5.0,1.4,202410,0.4029032258064516,2.849354838709677,296.8287096774194,21.02516129032258,50.571935483870966,17.486129032258066
